\INPUT_FILE = /exodata/ETSS-prep/KELT/doN02/raw/KELT_N02_lc_000027_V01_east_tfa.dat
\INPUT_TYPE = "RAW"
\START_DATE = "Thu Oct 26, 04:44:09 2006"               
\STOP_DATE = "Mon Nov 24, 04:44:47 2008"               
\fixlen = T
\NUMRECORDS = 1770     
\
\ This file was produced by the NASA Exoplanet Archive  http://exoplanetarchive.ipac.caltech.edu 
\ Thu Feb 25, 17:03:23 2016
\ Documentation for the KELT Survey dataset can be found at http://exoplanetarchive.ipac.caltech.edu/docs/KELT.html
\
|          TIME|     MAG|MAG_ERR|
|          real|    real|   real|
|             d|     mag|    mag|
|          null|    null|   null|
 2454054.716624 14.31032 0.00918 
 2454054.721147 14.29541 0.00934 
 2454054.725665 14.32195 0.00939 
 2454054.730189 14.32084 0.00938 
 2454054.734714 14.30936 0.00896 
 2454054.739238 14.31433 0.00902 
 2454055.646626 14.32468 0.01069 
 2454055.651150 14.33633 0.01063 
 2454055.655676 14.32708 0.01048 
 2454055.661040 14.31837 0.01036 
 2454055.666408 14.30652 0.00981 
 2454055.671778 14.29873 0.00995 
 2454055.677148 14.31039 0.00996 
 2454055.679253 14.32801 0.00978 
 2454055.683777 14.30666 0.00965 
 2454055.688302 14.31631 0.00960 
 2454055.692827 14.31046 0.00959 
 2454055.697343 14.31187 0.00946 
 2454055.701867 14.31610 0.00923 
 2454055.706389 14.30276 0.00948 
 2454055.710907 14.31214 0.00925 
 2454055.715432 14.31543 0.00929 
 2454055.719956 14.31292 0.00911 
 2454055.724473 14.31024 0.00938 
 2454055.728997 14.30118 0.00925 
 2454055.733520 14.32418 0.00909 
 2454056.647318 14.32459 0.01003 
 2454056.651837 14.33344 0.01026 
 2454056.656361 14.32229 0.01030 
 2454056.661723 14.31532 0.01003 
 2454056.667091 14.30656 0.01008 
 2454056.672454 14.30984 0.01021 
 2454056.677821 14.31369 0.01001 
 2454056.679924 14.31404 0.00991 
 2454056.684448 14.31122 0.00987 
 2454056.688972 14.31839 0.00955 
 2454056.693492 14.31241 0.00993 
 2454056.698015 14.30322 0.00960 
 2454056.702537 14.31502 0.00971 
 2454056.707056 14.32432 0.00942 
 2454056.711581 14.29413 0.00961 
 2454056.716105 14.31750 0.00935 
