\INPUT_FILE = /exodata/ETSS-prep/KELT/doN02/raw/KELT_N02_lc_003635_V01_west_tfa.dat
\INPUT_TYPE = "RAW"
\START_DATE = "Fri Oct 27, 07:06:26 2006"               
\STOP_DATE = "Mon Nov 24, 09:34:38 2008"               
\fixlen = T
\NUMRECORDS = 600      
\
\ This file was produced by the NASA Exoplanet Archive  http://exoplanetarchive.ipac.caltech.edu 
\ Thu Feb 25, 17:04:06 2016
\ Documentation for the KELT Survey dataset can be found at http://exoplanetarchive.ipac.caltech.edu/docs/KELT.html
\
|          TIME|     MAG|MAG_ERR|
|          real|    real|   real|
|             d|     mag|    mag|
|          null|    null|   null|
 2454743.015363 15.03690 0.01961 
 2454743.880195 15.01239 0.01895 
 2454743.892611 15.00716 0.01475 
 2454743.905025 14.99682 0.01290 
 2454743.929876 15.00810 0.01523 
 2454743.980153 15.02336 0.01579 
 2454743.990306 15.00724 0.01520 
 2454744.002750 15.00870 0.01324 
 2454744.012736 15.01961 0.01572 
 2454745.873877 15.00495 0.01373 
 2454745.886296 15.00313 0.01346 
 2454745.898707 15.00644 0.01479 
 2454745.911117 15.01566 0.01505 
 2454745.923577 15.00998 0.01452 
 2454745.973874 14.99466 0.01697 
 2454745.984047 15.01080 0.01691 
 2454745.996517 15.01751 0.01641 
 2454746.006531 14.99489 0.01523 
 2454746.016512 15.01214 0.02286 
 2454746.873787 15.01690 0.01617 
 2454746.886196 15.01925 0.01521 
 2454746.898609 15.00822 0.01519 
 2454746.911015 15.00907 0.01600 
 2454746.961114 15.02300 0.01683 
 2454746.971263 14.99202 0.01645 
 2454746.981423 15.01024 0.01868 
 2454746.993882 15.03320 0.01770 
 2454747.003869 15.00851 0.01640 
 2454747.013857 14.99706 0.01979 
 2454747.870728 14.99615 0.01583 
 2454747.883144 15.01347 0.01522 
 2454747.895556 15.02368 0.01604 
 2454747.907964 15.02001 0.01516 
 2454747.917946 15.00947 0.01546 
 2454747.968236 15.00058 0.01582 
 2454747.978394 14.99995 0.01727 
 2454747.990849 14.98688 0.01768 
 2454748.000857 14.98507 0.01730 
 2454748.010841 14.99475 0.01862 
 2454748.868068 14.99105 0.01408 
 2454748.880441 15.01390 0.01420 
 2454748.892818 15.00574 0.01539 
 2454748.905191 15.00263 0.01519 
 2454748.915150 15.02243 0.01542 
 2454748.935061 15.00122 0.01666 
 2454748.965290 15.00523 0.01526 
 2454748.975422 15.01338 0.01616 
 2454748.987838 15.00918 0.01614 
 2454748.997800 14.99200 0.01593 
 2454749.007759 15.00207 0.01509 
 2454749.017711 15.00363 0.02133 
 2454749.865403 15.00795 0.01691 
 2454749.877826 15.01919 0.01519 
 2454749.890245 15.01131 0.01644 
 2454749.902658 15.00354 0.01505 
 2454749.942627 15.01680 0.01619 
 2454749.952799 15.01443 0.01599 
 2454749.962973 15.00320 0.01499 
 2454749.973141 15.01100 0.01651 
 2454749.985609 14.99767 0.01628 
 2454749.995604 14.99592 0.02388 
 2454750.005593 14.98546 0.03300 
 2454750.015579 14.97187 0.01952 
 2454758.836382 15.00084 0.02570 
 2454758.843551 14.99212 0.02486 
 2454758.850719 15.00451 0.02274 
 2454758.857884 15.00388 0.02435 
 2454758.865044 14.98532 0.02460 
 2454758.872204 15.01340 0.02438 
 2454758.879351 15.01034 0.02524 
 2454758.886418 14.99841 0.02467 
 2454758.891146 14.98739 0.02434 
 2454758.900600 15.01307 0.02428 
 2454758.921705 14.98816 0.01983 
 2454758.923912 15.01689 0.02060 
 2454758.926115 15.00685 0.02227 
 2454758.928322 15.03225 0.02323 
 2454758.930522 15.01719 0.02417 
 2454758.932724 14.98483 0.02478 
 2454758.934932 15.01047 0.02475 
 2454758.937137 14.97848 0.02427 
 2454758.939342 14.99645 0.02352 
 2454758.941543 14.99497 0.02323 
 2454758.943748 14.98566 0.02267 
 2454758.945947 15.00363 0.02234 
 2454758.948150 15.02236 0.02192 
 2454758.950352 15.00027 0.02131 
 2454758.952555 14.99573 0.02055 
 2454758.954760 15.02089 0.02120 
 2454758.959855 15.01701 0.02482 
 2454759.832185 15.02543 0.02064 
 2454759.839255 15.00583 0.01661 
 2454759.846312 15.01270 0.01618 
 2454759.853369 15.01454 0.01835 
 2454759.860426 14.97576 0.01939 
 2454759.867484 15.02527 0.01882 
 2454759.874542 15.00318 0.01803 
 2454759.881601 15.00039 0.01721 
 2454759.886312 15.02261 0.01821 
 2454759.891041 15.00511 0.01758 
 2454759.916829 15.00472 0.01968 
 2454759.919023 14.98567 0.02000 
 2454759.921230 14.99737 0.01993 
 2454759.923419 15.01732 0.01988 
 2454759.925629 15.01070 0.01967 
 2454759.927830 15.00978 0.01916 
 2454759.930021 15.00275 0.01884 
 2454759.932232 15.01479 0.01931 
 2454759.934423 15.00435 0.02042 
 2454759.936633 15.00831 0.02021 
 2454759.938835 15.00302 0.02002 
 2454759.941028 15.00733 0.02005 
 2454759.943238 15.02189 0.02061 
 2454759.945426 14.99509 0.02080 
 2454759.947637 15.01072 0.02095 
 2454759.949841 15.01100 0.02164 
 2454759.952034 15.02839 0.02150 
 2454759.954240 14.98684 0.02115 
 2454759.956432 15.02152 0.02057 
 2454759.958643 14.99722 0.02057 
 2454759.960845 15.01116 0.02005 
 2454759.963038 15.00904 0.02000 
 2454759.965246 14.98756 0.01968 
 2454759.967438 15.00908 0.02010 
 2454759.969649 14.98872 0.01978 
 2454759.971850 15.02093 0.01942 
 2454759.974047 15.00226 0.01948 
 2454759.976255 15.00812 0.01918 
 2454759.978445 15.03535 0.01983 
 2454759.980655 15.02253 0.02148 
 2454759.982856 14.99332 0.02291 
 2454760.828970 14.99958 0.01629 
 2454760.839132 14.98814 0.02041 
 2454760.849290 15.01088 0.01880 
 2454760.859454 14.99692 0.01846 
 2454760.869619 15.00819 0.01935 
 2454760.879783 15.00973 0.01924 
 2454760.912836 15.01751 0.01858 
 2454760.917559 15.00488 0.01761 
 2454760.922284 15.01913 0.01639 
 2454760.927010 14.98749 0.01731 
 2454760.931731 15.00235 0.01978 
 2454760.936452 15.00414 0.01926 
 2454760.941168 14.99608 0.01820 
 2454760.945885 15.00331 0.01654 
 2454760.950601 15.00264 0.01812 
 2454777.788205 14.97997 0.01811 
 2454777.800129 15.02079 0.01615 
 2454777.812060 14.99479 0.01699 
 2454777.823994 15.00886 0.01639 
 2454777.845588 15.01729 0.01724 
 2454777.894135 15.01819 0.01698 
 2454777.903926 15.02803 0.01775 
 2454777.915896 15.00423 0.01755 
 2454777.935102 15.01747 0.01584 
 2454777.944695 15.00827 0.01733 
 2454778.778065 15.01743 0.02223 
 2454778.785702 14.99120 0.02244 
 2454778.793361 15.01822 0.02513 
 2454778.808645 15.02816 0.02127 
 2454778.826093 15.01139 0.02271 
 2454778.840931 15.03051 0.02156 
 2454778.848354 14.99133 0.02104 
 2454778.863188 14.99496 0.02176 
 2454779.776836 15.03096 0.02263 
 2454786.759329 15.01189 0.02603 
 2454786.766112 14.99548 0.02201 
 2454786.772896 14.99467 0.02105 
 2454786.779694 14.98882 0.02183 
 2454786.786478 15.02376 0.02250 
 2454786.793271 14.99264 0.02284 
 2454786.800061 15.02116 0.02319 
 2454786.806870 15.00123 0.02458 
 2454786.811415 15.01058 0.02605 
 2454786.815957 15.01720 0.02699 
 2454786.820506 15.01173 0.02701 
 2454786.825049 15.02308 0.02664 
 2454786.829579 15.04174 0.02590 
 2454786.834127 14.98060 0.02616 
