\INPUT_FILE = /exodata/ETSS-prep/KELT/doN02/raw/KELT_N02_lc_009476_V01_west_raw.dat
\INPUT_TYPE = "RAW"
\START_DATE = "Fri Oct 27, 07:06:26 2006"               
\STOP_DATE = "Mon Nov 24, 09:34:38 2008"               
\fixlen = T
\NUMRECORDS = 602      
\
\ This file was produced by the NASA Exoplanet Archive  http://exoplanetarchive.ipac.caltech.edu 
\ Thu Feb 25, 17:07:16 2016
\ Documentation for the KELT Survey dataset can be found at http://exoplanetarchive.ipac.caltech.edu/docs/KELT.html
\
|          TIME|     MAG|MAG_ERR|
|          real|    real|   real|
|             d|     mag|    mag|
|          null|    null|   null|
 2454788.818070 13.27303 0.00393 
 2454788.822608 13.27847 0.00440 
 2454788.827150 13.26067 0.00422 
 2454788.836222 13.25121 0.00429 
 2454788.840762 13.26315 0.00431 
 2454788.845304 13.26887 0.00435 
 2454788.849853 13.27252 0.00402 
 2454788.854385 13.26757 0.00396 
 2454788.858931 13.26276 0.00403 
 2454788.863468 13.25238 0.00420 
 2454788.868010 13.25095 0.00421 
 2454788.872553 13.24673 0.00421 
 2454788.877099 13.25313 0.00417 
 2454788.881637 13.25672 0.00406 
 2454788.886181 13.26441 0.00400 
 2454788.890723 13.25784 0.00415 
 2454788.895264 13.25578 0.00427 
 2454788.899818 13.25935 0.00417 
 2454788.904360 13.27198 0.00432 
 2454788.908895 13.24942 0.00419 
 2454788.913430 13.27385 0.00432 
 2454789.754110 13.26115 0.00375 
 2454789.766079 13.26016 0.00372 
 2454789.778041 13.26152 0.00389 
 2454789.789988 13.26204 0.00399 
 2454789.801956 13.24844 0.00398 
 2454789.809373 13.26333 0.00387 
 2454789.831644 13.26468 0.00412 
 2454789.846950 13.25053 0.00422 
 2454789.854585 13.26500 0.00417 
 2454789.862234 13.24922 0.00414 
 2454789.869881 13.26334 0.00426 
 2454789.877527 13.27163 0.00410 
 2454789.882064 13.25637 0.00414 
 2454789.886602 13.25793 0.00416 
 2454789.891142 13.26128 0.00409 
 2454789.895680 13.26617 0.00430 
 2454789.900219 13.24241 0.00407 
 2454789.904765 13.27004 0.00400 
 2454789.911685 13.26095 0.00406 
 2454790.750743 13.25322 0.00393 
 2454790.762704 13.24963 0.00387 
 2454790.798579 13.25822 0.00388 
 2454790.835882 13.25854 0.00397 
 2454790.858813 13.26007 0.00406 
 2454790.866473 13.26199 0.00405 
 2454790.874105 13.26334 0.00390 
 2454790.878635 13.26035 0.00396 
 2454790.883177 13.24727 0.00387 
 2454790.887715 13.26216 0.00382 
 2454790.892253 13.26093 0.00390 
 2454790.896789 13.25079 0.00381 
 2454790.901313 13.26744 0.00378 
 2454790.908235 13.28629 0.00385 
 2454791.749116 13.27043 0.00378 
 2454791.761086 13.24915 0.00383 
 2454791.773037 13.26958 0.00388 
 2454791.784978 13.25735 0.00390 
 2454791.828055 13.26374 0.00380 
 2454791.847657 13.25082 0.00390 
 2454791.874688 13.25618 0.00389 
 2454791.882096 13.32662 0.00372 
 2454791.889512 13.35271 0.00394 
