\INPUT_FILE = /exodata/ETSS-prep/KELT/doN02/raw/KELT_N02_lc_000026_V01_east_raw.dat
\INPUT_TYPE = "RAW"
\START_DATE = "Thu Oct 26, 04:44:09 2006"               
\STOP_DATE = "Mon Nov 24, 04:44:47 2008"               
\fixlen = T
\NUMRECORDS = 1792     
\
\ This file was produced by the NASA Exoplanet Archive  http://exoplanetarchive.ipac.caltech.edu 
\ Thu Feb 25, 17:00:20 2016
\ Documentation for the KELT Survey dataset can be found at http://exoplanetarchive.ipac.caltech.edu/docs/KELT.html
\
|          TIME|     MAG|MAG_ERR|
|          real|    real|   real|
|             d|     mag|    mag|
|          null|    null|   null|
 2454060.634796 14.06823 0.00906 
 2454060.639314 14.08636 0.00884 
 2454060.643840 14.08243 0.00868 
 2454060.649210 14.08201 0.00890 
 2454060.654581 14.09182 0.00865 
 2454060.659952 14.09796 0.00842 
 2454060.665322 14.09417 0.00845 
 2454060.667427 14.07396 0.00835 
 2454060.671947 14.10614 0.00825 
 2454060.676475 14.07428 0.00814 
 2454060.680994 14.08350 0.00796 
 2454060.685518 14.09842 0.00789 
 2454060.690040 14.08281 0.00793 
 2454060.694558 14.08402 0.00800 
 2454060.699081 14.09429 0.00775 
 2454060.705749 14.07189 0.00778 
 2454060.710272 14.08906 0.00768 
 2454060.714790 14.09023 0.00759 
 2454060.719313 14.08419 0.00775 
 2454060.723837 14.09392 0.00753 
 2454061.580528 14.09486 0.00994 
 2454061.585051 14.08685 0.00973 
 2454061.589570 14.09862 0.00934 
 2454061.594095 14.07012 0.00978 
 2454061.598620 14.08190 0.00959 
 2454061.603145 14.07463 0.00926 
 2454061.607668 14.09753 0.00940 
 2454061.612184 14.10813 0.00917 
 2454061.616709 14.08855 0.00931 
 2454061.621231 14.07172 0.00941 
 2454061.625749 14.08930 0.00897 
 2454061.630274 14.10262 0.00895 
 2454061.634800 14.08147 0.00893 
 2454061.639326 14.07787 0.00874 
 2454061.644689 14.09790 0.00836 
 2454061.650057 14.08528 0.00858 
 2454061.655425 14.09272 0.00841 
 2454061.660795 14.09408 0.00835 
 2454061.662893 14.10039 0.00810 
 2454061.667415 14.08424 0.00831 
 2454061.671937 14.09139 0.00816 
 2454061.676463 14.09054 0.00801 
 2454061.680989 14.08722 0.00815 
 2454061.685514 14.08152 0.00804 
 2454061.690033 14.09671 0.00784 
 2454061.694557 14.08022 0.00781 
 2454061.699080 14.08815 0.00790 
 2454061.703604 14.08270 0.00766 
 2454061.708131 14.09841 0.00757 
 2454061.712655 14.08692 0.00749 
 2454061.717174 14.09962 0.00744 
 2454066.579809 14.07029 0.01384 
 2454066.584334 14.08482 0.00977 
 2454066.588851 14.07786 0.00926 
 2454066.593373 14.08261 0.00956 
 2454066.597899 14.08927 0.00939 
 2454066.602417 14.09548 0.00931 
 2454066.606942 14.08249 0.00953 
 2454066.611464 14.08257 0.00936 
 2454066.615989 14.08427 0.00921 
 2454066.620509 14.07698 0.00912 
