\INPUT_FILE = /exodata/ETSS-prep/KELT/doN02/raw/KELT_N02_lc_005172_V01_west_raw.dat
 2454059.746355 13.93709 0.00729 
 2454059.751725 13.89906 0.00767 
 2454060.728783 13.92524 0.00781 
 2454060.739524 13.92133 0.00721 
 2454060.744893 13.90559 0.00720 
 2454060.750255 13.95056 0.00690 
 2454061.722118 13.89686 0.00778 
 2454061.727488 13.91182 0.00721 
 2454061.732857 13.92437 0.00721 
 2454061.738226 13.89601 0.00712 
 2454061.743597 13.92385 0.00678 
 2454066.711492 13.94097 0.00860 
 2454077.691249 13.92521 0.00980 
 2454077.696620 13.90594 0.00996 
 2454077.701990 13.92587 0.00955 
 2454079.672519 13.93895 0.00691 
 2454079.677036 13.94275 0.00683 
 2454079.681552 13.92317 0.00693 
 2454079.686077 13.92167 0.00691 
 2454079.690600 13.91791 0.00699 
 2454079.695114 13.91400 0.00697 
 2454079.702584 13.91060 0.00723 
 2454079.707953 13.91457 0.00729 
 2454079.713321 13.95415 0.00680 
 2454079.718682 13.91294 0.00741 
 2454079.724050 13.93276 0.00755 
 2454079.759937 13.92067 0.00681 
 2454079.768968 13.91136 0.01458 
 2454080.671458 13.91412 0.00793 
 2454080.682195 13.94193 0.00695 
 2454080.687562 13.91678 0.00725 
 2454080.692929 13.93163 0.00722 
 2454081.673345 13.93572 0.00707 
 2454081.678713 13.90558 0.00757 
 2454081.684082 13.93479 0.00728 
 2454081.689451 13.93057 0.00697 
 2454083.674103 13.89469 0.00915 
 2454083.679473 13.87997 0.00759 
 2454083.684834 13.93006 0.00802 
 2454093.643970 13.92178 0.00748 
 2454093.649544 13.93559 0.00689 
 2454093.655121 13.94277 0.00727 
 2454094.651041 13.92557 0.00760 
 2454107.602977 13.94171 0.00695 
 2454107.608549 13.92898 0.00702 
 2454107.614119 13.90023 0.00692 
 2454108.598930 13.95463 0.00710 
 2454108.604493 13.91791 0.00709 
 2454108.610056 13.92309 0.00665 
 2454362.907062 13.93470 0.00710 
 2454362.912605 13.91501 0.00715 
 2454363.903042 13.92715 0.00671 
 2454363.908597 13.93013 0.00709 
 2454378.861883 13.88740 0.00640 
 2454381.853588 13.91361 0.00705 
 2454381.859134 13.93227 0.00706 
 2454382.851098 13.93259 0.00720 
 2454384.845291 13.92947 0.00716 
 2454384.850843 13.95216 0.00720 
 2454385.843495 13.90927 0.00684 
 2454386.840028 13.92715 0.00717 
 2454386.845578 13.93211 0.00706 
 2454388.832463 13.94090 0.00694 
 2454389.829958 13.94048 0.00728 
 2454391.825905 13.91990 0.00729 
 2454392.820761 13.93576 0.00706 
 2454393.819097 13.90333 0.00696 
 2454395.810092 13.89448 0.00960 
 2454395.815647 13.91490 0.00886 
 2454404.790024 13.90700 0.00827 
 2454405.785689 13.90878 0.00724 
 2454405.791241 13.89572 0.00981 
 2454407.783322 13.91639 0.00718 
 2454408.779689 13.93932 0.00712 
 2454408.785242 13.90844 0.00739 
 2454409.778091 13.91258 0.00715 
 2454412.768413 13.93433 0.00715 
 2454412.773964 13.91889 0.00702 
 2454413.766817 13.91041 0.00704 
 2454414.764021 13.92293 0.00728 
 2454414.769574 13.94661 0.00848 
 2454416.757388 13.91799 0.00660 
 2454416.762754 13.93980 0.00642 
 2454416.768115 13.92385 0.00685 
 2454437.700178 13.94322 0.00670 
 2454438.697134 13.92385 0.00727 
 2454439.693856 13.92246 0.00690 
 2454439.699267 13.89749 0.00689 
 2454447.672188 13.94346 0.00692 
 2454447.677597 13.92816 0.00685 
 2454448.666253 13.91537 0.00694 
 2454448.671703 13.93620 0.00715 
 2454448.677119 13.93581 0.00691 
 2454449.666915 13.94524 0.00679 
 2454450.664386 13.92456 0.00696 
 2454460.634944 13.94165 0.00909 
 2454460.640304 13.89447 0.00934 
 2454461.630294 13.92324 0.00725 
 2454461.635650 13.92640 0.00742 
 2454461.641009 13.90099 0.00747 
 2454462.631829 13.95090 0.00707 
 2454462.637189 13.93452 0.00712 
 2454463.627305 13.92716 0.00682 
 2454463.632664 13.91625 0.00680 
 2454464.622717 13.91969 0.00703 
 2454464.628076 13.95093 0.00706 
 2454464.633437 13.91319 0.00693 
 2454465.623549 13.90799 0.00703 
 2454465.628908 13.92882 0.00697 
 2454731.906846 13.91466 0.00805 
 2454731.913903 13.91427 0.00776 
 2454731.920953 13.88531 0.00712 
 2454731.928018 13.92665 0.00711 
 2454731.935075 13.94272 0.00755 
 2454731.942128 13.94053 0.00772 
 2454731.949184 13.91295 0.00765 
 2454731.956232 13.93549 0.00774 
 2454731.960957 13.94595 0.00805 
 2454731.965660 13.94635 0.00822 
 2454731.970378 13.94337 0.00832 
 2454731.991444 13.94472 0.00771 
 2454731.993643 13.95558 0.00793 
 2454731.995831 13.95258 0.00787 
 2454731.998037 13.94516 0.00752 
 2454732.000225 13.94571 0.00770 
 2454732.002434 13.93744 0.00805 
 2454732.004629 13.92720 0.00809 
 2454732.006828 13.93238 0.00849 
 2454732.009028 13.91678 0.00924 
 2454732.011219 13.92405 0.01032 
 2454732.013426 13.91356 0.01208 
 2454732.911568 13.91432 0.00708 
 2454732.918624 13.88468 0.00670 
 2454732.925683 13.91606 0.00687 
 2454732.932736 13.94730 0.00715 
 2454732.939785 13.94042 0.00725 
 2454732.946843 13.91024 0.00712 
 2454732.953893 13.94399 0.00726 
 2454732.958605 13.93160 0.00745 
 2454732.963321 13.92724 0.00769 
 2454732.968038 13.93548 0.00768 
 2454732.989102 13.94397 0.00711 
 2454732.991292 13.95181 0.00703 
 2454732.993501 13.95650 0.00703 
 2454732.995701 13.95221 0.00728 
 2454732.997901 13.94553 0.00735 
 2454733.000096 13.93305 0.00743 
 2454733.002288 13.93633 0.00731 
 2454733.004495 13.93749 0.00746 
 2454733.006681 13.92281 0.00785 
 2454733.008892 13.91282 0.00845 
 2454733.011090 13.92080 0.00933 
 2454733.013279 13.92455 0.01089 
 2454733.901125 13.90422 0.00670 
 2454733.911292 13.91721 0.00701 
 2454733.921461 13.90389 0.00671 
 2454733.975612 13.92838 0.00653 
 2454733.987543 13.89886 0.00649 
 2454733.992276 13.94721 0.00686 
 2454733.997003 13.93388 0.00688 
 2454734.001726 13.94055 0.00692 
 2454734.006453 13.95031 0.00747 
 2454734.011183 13.92901 0.00893 
 2454734.905837 13.91381 0.00690 
 2454734.918267 13.93250 0.00714 
 2454734.930691 13.92498 0.00716 
 2454734.943120 13.93616 0.00719 
 2454734.960785 13.91416 0.00679 
 2454734.976174 13.89519 0.00667 
 2454735.007888 13.90874 0.00811 
 2454737.895504 13.92991 0.00675 
 2454737.907936 13.94625 0.00652 
 2454737.920366 13.93086 0.00679 
 2454737.932813 13.91473 0.00669 
 2454737.945293 13.94321 0.00657 
 2454737.975308 13.91788 0.00660 
 2454737.985491 13.91691 0.00698 
 2454737.995667 13.91800 0.00681 
 2454738.005848 13.91386 0.00683 
 2454738.016019 13.91575 0.01220 
 2454738.895219 13.93296 0.00648 
 2454738.907643 13.94141 0.00635 
 2454738.920061 13.94830 0.00668 
 2454738.932473 13.88995 0.00651 
 2454738.972448 13.90385 0.00602 
 2454738.982609 13.90639 0.00661 
 2454738.992772 13.92917 0.00627 
 2454739.002951 13.92388 0.00645 
 2454739.015405 13.92292 0.01056 
 2454739.891311 13.93924 0.00661 
 2454739.903730 13.92338 0.00648 
 2454739.916144 13.97094 0.00560 
 2454739.928556 13.88402 0.00672 
 2454739.941012 13.89587 0.00663 
 2454739.991322 13.91363 0.00632 
 2454740.001486 13.90201 0.00623 
 2454741.887485 13.93689 0.00705 
 2454741.899906 13.92924 0.00696 
 2454741.912318 13.93831 0.00700 
 2454741.924734 13.91482 0.00727 
 2454741.934719 13.90399 0.00706 
 2454741.964697 13.89194 0.00699 
 2454741.974875 13.91622 0.00732 
 2454741.985039 13.90865 0.00669 
 2454741.995205 13.90822 0.00635 
 2454742.007665 13.91226 0.00687 
 2454742.897478 13.93644 0.00668 
 2454742.909906 13.92717 0.00653 
 2454742.922331 13.91663 0.00608 
 2454742.972515 13.91009 0.00673 
 2454742.982695 13.91011 0.00632 
 2454742.992869 13.89728 0.00625 
 2454743.005360 13.93023 0.00622 
 2454743.015363 13.93232 0.00827 
 2454743.880195 13.94947 0.00858 
 2454743.892611 13.90668 0.00681 
 2454743.905025 13.91587 0.00597 
 2454743.929876 13.91174 0.00694 
 2454743.980153 13.91805 0.00712 
 2454743.990306 13.90786 0.00690 
 2454744.002750 13.91366 0.00620 
 2454744.012736 13.93047 0.00707 
 2454745.873877 13.93652 0.00641 
 2454745.886296 13.93263 0.00629 
 2454745.898707 13.93053 0.00681 
 2454745.911117 13.91990 0.00691 
 2454745.923577 13.91939 0.00667 
 2454745.973874 13.91232 0.00752 
 2454745.984047 13.92588 0.00744 
 2454745.996517 13.91321 0.00732 
 2454746.006531 13.91733 0.00681 
 2454746.016512 13.91370 0.00942 
 2454746.873787 13.91891 0.00733 
 2454746.886196 13.93240 0.00694 
 2454746.898609 13.91646 0.00687 
 2454746.911015 13.92225 0.00723 
 2454746.961114 13.92736 0.00740 
 2454746.971263 13.93454 0.00724 
 2454746.981423 13.93280 0.00803 
 2454746.993882 13.92376 0.00778 
 2454747.003869 13.91485 0.00729 
 2454747.013857 13.91457 0.00833 
 2454747.870728 13.92597 0.00721 
 2454747.883144 13.93728 0.00695 
 2454747.895556 13.93738 0.00723 
 2454747.907964 13.94364 0.00689 
 2454747.917946 13.91796 0.00702 
 2454747.968236 13.93220 0.00706 
 2454747.978394 13.93688 0.00754 
 2454747.990849 13.92716 0.00776 
 2454748.000857 13.93071 0.00761 
 2454748.010841 13.92165 0.00804 
 2454748.868068 13.90436 0.00652 
 2454748.880441 13.93308 0.00655 
 2454748.892818 13.91744 0.00698 
 2454748.905191 13.92330 0.00692 
 2454748.915150 13.93864 0.00697 
 2454748.935061 13.91384 0.00738 
 2454748.965290 13.92542 0.00686 
 2454748.975422 13.93169 0.00721 
 2454748.987838 13.91602 0.00722 
 2454748.997800 13.92871 0.00708 
 2454749.007759 13.92032 0.00679 
 2454749.017711 13.92900 0.00885 
 2454749.865403 13.91464 0.00754 
 2454749.877826 13.92503 0.00690 
 2454749.890245 13.92882 0.00738 
 2454749.902658 13.93703 0.00680 
 2454749.942627 13.92115 0.00718 
 2454749.952799 13.92186 0.00717 
 2454749.962973 13.93071 0.00674 
 2454749.973141 13.94182 0.00722 
 2454749.985609 13.92290 0.00720 
 2454749.995604 13.90268 0.01049 
 2454750.005593 13.91699 0.01340 
 2454750.015579 13.92608 0.00818 
 2454758.836382 13.94664 0.01049 
 2454758.843551 13.93778 0.01025 
 2454758.850719 13.90466 0.00949 
 2454758.857884 13.91896 0.01008 
 2454758.865044 13.94486 0.01013 
 2454758.872204 13.93136 0.01011 
 2454758.879351 13.91479 0.01044 
 2454758.886418 13.93276 0.01018 
 2454758.891146 13.91807 0.01008 
 2454758.900600 13.92074 0.01000 
 2454758.921705 13.92159 0.00842 
 2454758.923912 13.91230 0.00873 
 2454758.926115 13.92543 0.00930 
 2454758.928322 13.92300 0.00967 
 2454758.930522 13.92188 0.00998 
 2454758.932724 13.92859 0.01016 
 2454758.934932 13.93122 0.01016 
 2454758.937137 13.93585 0.01001 
 2454758.939342 13.93076 0.00973 
 2454758.941543 13.93497 0.00961 
 2454758.943748 13.93496 0.00939 
 2454758.945947 13.93498 0.00929 
 2454758.948150 13.90807 0.00918 
 2454758.950352 13.92562 0.00895 
 2454758.952555 13.92147 0.00864 
 2454758.954760 13.91958 0.00890 
 2454758.959855 13.93483 0.01021 
 2454759.832185 13.91378 0.00879 
 2454759.839255 13.93243 0.00739 
 2454759.846312 13.92097 0.00726 
 2454759.853369 13.88979 0.00810 
 2454759.860426 13.91509 0.00836 
 2454759.867484 13.93178 0.00818 
 2454759.874542 13.92921 0.00793 
 2454759.881601 13.92604 0.00762 
 2454759.886312 13.92968 0.00797 
 2454759.891041 13.92933 0.00772 
 2454759.916829 13.89568 0.00856 
 2454759.919023 13.90577 0.00863 
 2454759.921230 13.88237 0.00865 
 2454759.923419 13.90380 0.00856 
 2454759.925629 13.89364 0.00848 
 2454759.927830 13.89514 0.00829 
 2454759.930021 13.89905 0.00815 
 2454759.932232 13.92512 0.00828 
 2454759.934423 13.91045 0.00875 
 2454759.936633 13.91437 0.00869 
 2454759.938835 13.91226 0.00865 
 2454759.941028 13.91790 0.00867 
 2454759.943238 13.90186 0.00893 
 2454759.945426 13.89067 0.00896 
 2454759.947637 13.89450 0.00897 
 2454759.949841 13.89633 0.00921 
 2454759.952034 13.89891 0.00912 
 2454759.954240 13.90887 0.00894 
 2454759.956432 13.89158 0.00877 
 2454759.958643 13.90210 0.00873 
 2454759.960845 13.90194 0.00854 
 2454759.963038 13.88572 0.00857 
 2454759.965246 13.90832 0.00840 
 2454759.967438 13.90258 0.00865 
 2454759.969649 13.89586 0.00855 
 2454759.971850 13.90884 0.00840 
 2454759.974047 13.90157 0.00837 
 2454759.976255 13.91869 0.00822 
 2454759.978445 13.94120 0.00842 
 2454759.980655 13.93307 0.00901 
 2454759.982856 13.91949 0.00948 
 2454760.828970 13.92986 0.00731 
 2454760.839132 13.91465 0.00878 
 2454760.849290 13.90662 0.00828 
 2454760.859454 13.90123 0.00807 
 2454760.869619 13.90768 0.00833 
 2454760.879783 13.90921 0.00833 
 2454760.912836 13.91817 0.00814 
 2454760.917559 13.93800 0.00772 
 2454760.922284 13.92010 0.00730 
 2454760.927010 13.90591 0.00764 
 2454760.931731 13.90955 0.00850 
 2454760.936452 13.90722 0.00829 
 2454760.941168 13.91927 0.00791 
 2454760.945885 13.91693 0.00729 
 2454760.950601 13.90216 0.00795 
 2454777.788205 13.91532 0.00793 
 2454777.800129 13.92946 0.00727 
 2454777.812060 13.93447 0.00753 
 2454777.823994 13.93693 0.00737 
 2454777.845588 13.94011 0.00759 
 2454777.894135 13.93728 0.00749 
 2454777.903926 13.91985 0.00784 
 2454777.915896 13.93579 0.00768 
 2454777.935102 13.93569 0.00700 
 2454777.944695 13.92929 0.00752 
 2454778.778065 13.91402 0.00944 
 2454778.785702 13.91151 0.00939 
 2454778.793361 13.93624 0.01034 
 2454778.808645 13.93880 0.00896 
 2454778.826093 13.93562 0.00949 
 2454778.840931 13.94077 0.00904 
 2454778.848354 13.94189 0.00884 
 2454778.863188 13.90955 0.00920 
 2454779.776836 13.92573 0.00947 
 2454786.759329 13.91570 0.01064 
 2454786.766112 13.91427 0.00922 
 2454786.772896 13.90953 0.00890 
 2454786.779694 13.93121 0.00914 
 2454786.786478 13.92629 0.00943 
 2454786.793271 13.93017 0.00955 
 2454786.800061 13.93652 0.00969 
 2454786.806870 13.92418 0.01018 
 2454786.811415 13.91508 0.01070 
 2454786.815957 13.93633 0.01099 
 2454786.820506 13.91387 0.01101 
 2454786.825049 13.92781 0.01086 
 2454786.829579 13.91215 0.01061 
 2454786.834127 13.93242 0.01067 
 2454786.838672 13.93798 0.01138 
 2454786.843210 13.91515 0.01043 
 2454786.845312 13.92206 0.01011 
 2454786.847428 13.92650 0.01013 
 2454786.849541 13.92460 0.01003 
 2454786.851651 13.91709 0.00987 
 2454786.853764 13.93421 0.01044 
 2454786.855874 13.92569 0.01050 
 2454786.857990 13.92298 0.01055 
 2454786.860099 13.91747 0.01063 
 2454786.862208 13.91398 0.01075 
 2454786.864316 13.92453 0.01060 
 2454786.866432 13.92499 0.01052 
 2454786.868542 13.92092 0.01056 
 2454786.870655 13.92641 0.01046 
 2454786.872766 13.91889 0.01054 
 2454786.874879 13.91990 0.01056 
 2454786.876989 13.92867 0.01048 
 2454786.879104 13.93761 0.01049 
 2454786.881219 13.92021 0.01055 
 2454786.883335 13.92385 0.01082 
 2454786.885442 13.93450 0.01067 
 2454786.887552 13.93845 0.01095 
 2454786.889662 13.92347 0.01091 
 2454786.891777 13.92696 0.01109 
 2454786.893885 13.93553 0.01105 
 2454786.895990 13.92205 0.01095 
 2454786.898099 13.92845 0.01119 
 2454786.900212 13.93192 0.01127 
 2454786.902326 13.93409 0.01115 
 2454786.904441 13.92396 0.01095 
 2454786.906551 13.93582 0.01082 
 2454786.908661 13.92415 0.01083 
 2454786.910772 13.94152 0.01057 
 2454786.912882 13.92553 0.01059 
 2454786.917097 13.92460 0.01103 
 2454786.919207 13.91958 0.01086 
 2454787.755338 13.91583 0.00765 
 2454787.765136 13.92222 0.00943 
 2454787.774938 13.91976 0.00831 
 2454787.784756 13.92019 0.00866 
 2454787.804375 13.92710 0.00873 
 2454787.808917 13.92524 0.00876 
 2454787.813453 13.91480 0.00830 
 2454787.817993 13.92749 0.00921 
 2454787.822534 13.91591 0.00954 
 2454787.831623 13.91992 0.00941 
 2454787.843094 13.91283 0.00859 
 2454787.847629 13.91995 0.00819 
 2454787.852169 13.92083 0.00851 
 2454787.856716 13.92946 0.00892 
 2454787.861253 13.92472 0.00893 
 2454787.865793 13.92284 0.00882 
 2454787.870330 13.91872 0.00862 
 2454787.874870 13.92759 0.00840 
 2454787.879407 13.92220 0.00904 
 2454787.883956 13.91529 0.00912 
 2454787.888496 13.91228 0.00925 
 2454787.893043 13.90727 0.00915 
 2454787.897576 13.92043 0.00909 
 2454787.902121 13.92029 0.00906 
 2454787.906661 13.92830 0.00935 
 2454787.911205 13.92661 0.00956 
 2454787.915743 13.92709 0.00989 
 2454788.755449 13.91755 0.00777 
 2454788.765250 13.93441 0.00798 
 2454788.775055 13.92996 0.00783 
 2454788.794654 13.93531 0.00772 
 2454788.808996 13.92052 0.00848 
 2454788.813538 13.91061 0.00874 
 2454788.818070 13.92970 0.00840 
 2454788.822608 13.91841 0.00863 
 2454788.827150 13.92552 0.00868 
 2454788.836222 13.91776 0.00810 
 2454788.840762 13.93169 0.00787 
 2454788.845304 13.92970 0.00775 
 2454788.849853 13.91434 0.00799 
 2454788.854385 13.91926 0.00856 
 2454788.858931 13.94092 0.00842 
 2454788.863468 13.91230 0.00828 
 2454788.868010 13.91071 0.00801 
 2454788.872553 13.90804 0.00796 
 2454788.877099 13.92374 0.00784 
 2454788.881637 13.93480 0.00822 
 2454788.886181 13.92214 0.00838 
 2454788.890723 13.92060 0.00841 
 2454788.895264 13.92841 0.00837 
 2454788.899818 13.91803 0.00838 
 2454788.904360 13.92779 0.00836 
 2454788.908895 13.92328 0.00825 
 2454788.913430 13.92586 0.00832 
 2454789.754110 13.94229 0.00640 
 2454789.766079 13.91696 0.00696 
 2454789.778041 13.92775 0.00733 
 2454789.789988 13.93870 0.00722 
 2454789.801956 13.92218 0.00730 
 2454789.809373 13.92253 0.00760 
 2454789.831644 13.93117 0.00823 
 2454789.846950 13.92091 0.00802 
 2454789.854585 13.91032 0.00809 
 2454789.862234 13.92218 0.00864 
 2454789.869881 13.93042 0.00820 
 2454789.877527 13.91864 0.00829 
 2454789.882064 13.93448 0.00807 
 2454789.886602 13.91995 0.00794 
 2454789.891142 13.91961 0.00798 
 2454789.895680 13.93097 0.00814 
 2454789.900219 13.92529 0.00817 
 2454789.904765 13.92768 0.00826 
 2454789.911685 13.92118 0.00808 
 2454790.750743 13.92822 0.00669 
 2454790.762704 13.94458 0.00762 
 2454790.798579 13.92514 0.00769 
 2454790.835882 13.92722 0.00732 
 2454790.858813 13.91678 0.00805 
 2454790.866473 13.91866 0.00779 
 2454790.874105 13.90658 0.00759 
 2454790.878635 13.94144 0.00750 
 2454790.883177 13.91240 0.00727 
 2454790.887715 13.90455 0.00714 
 2454790.892253 13.93213 0.00714 
 2454790.896789 13.91123 0.00787 
 2454790.901313 13.92972 0.00750 
 2454790.908235 13.93552 0.00747 
 2454791.749116 13.94429 0.00674 
 2454791.761086 13.92590 0.00682 
 2454791.773037 13.94315 0.00683 
 2454791.784978 13.93164 0.00695 
 2454791.828055 13.91065 0.00762 
 2454791.847657 13.93107 0.00705 
 2454791.874688 13.92077 0.00751 
 2454791.882096 13.92625 0.00776 
 2454791.889512 13.93492 0.00920 
 2454791.896929 13.92810 0.00792 
 2454791.904346 13.93136 0.00783 
 2454792.757885 13.93821 0.00725 
 2454792.769829 13.91570 0.00573 
 2454792.781785 13.91626 0.00673 
 2454792.875863 13.88808 0.00835 
 2454792.885475 13.92403 0.00790 
 2454792.904719 13.89331 0.00651 
 2454793.777071 13.91666 0.00686 
 2454794.740211 13.92581 0.00655 
 2454794.752176 13.92138 0.00722 
 2454794.764138 13.92905 0.00710 
 2454794.776090 13.94115 0.00689 
 2454794.790295 13.94358 0.00653 
 2454794.809543 13.93764 0.00744 
 2454794.828960 13.91986 0.00691 
 2454794.838759 13.93394 0.00692 
 2454794.860584 13.92661 0.00844 
 2454794.870191 13.91499 0.00669 
 2454794.889436 13.91637 0.00730 
 2454794.899059 13.92456 0.00620 
